"		지점번호",지점명,date,avg_temp,max_temp,"	최고기온시각",min_temp,최저기온시각일교차,
"		108",서울,1974-04-05,9.8,16.8,16:03,5.4,6:00,11.4
"		108",서울,1974-04-06,15.2,23.1,16:18,8.2,6:33,14.9
"		108",서울,1974-04-07,11.3,12.2,0:00,9,24:00:00,3.2
"		108",서울,1974-04-08,11.9,17.5,14:13,7.9,5:42,9.6
"		108",서울,1975-04-02,5.5,11.3,14:55,1.6,6:10,9.7
"		108",서울,1975-04-03,7,13.7,14:48,1.2,6:00,12.5
"		108",서울,1975-04-04,8.8,15.9,14:58,3.4,6:30,12.5
"		108",서울,1975-04-05,7.3,9.5,0:00,5.3,21:00,4.2
"		108",서울,1975-04-06,9.1,14.8,15:43,5.6,6:00,9.2
"		108",서울,1975-04-07,10.6,15.2,16:48,6,5:00,9.2
"		108",서울,1975-04-08,8.5,12.9,16:00,5.4,24:00:00,7.5
"		108",서울,1976-04-02,4.4,8.5,15:02,0.1,7:08,8.4
"		108",서울,1976-04-03,6.5,11.8,13:15,0.3,6:26,11.5
"		108",서울,1976-04-04,7.1,14.4,14:57,1,6:38,13.4
"		108",서울,1976-04-05,7.8,14.8,15:01,2.6,6:52,12.2
"		108",서울,1976-04-06,5.4,7.4,17:51,3.9,5:18,3.5
"		108",서울,1976-04-07,7.7,14.2,14:19,1.6,6:42,12.6
"		108",서울,1976-04-08,9,13.5,15:40,6,6:00,7.5
"		108",서울,1977-04-02,7,12.2,14:03,2.4,5:45,9.8
"		108",서울,1977-04-03,9.6,15.5,14:49,4,6:55,11.5
"		108",서울,1977-04-04,11.4,20.2,15:28,3,6:14,17.2
"		108",서울,1977-04-05,14.1,21.5,14:24,7.1,6:25,14.4
"		108",서울,1977-04-06,9.8,12.6,0:13,6.8,24:00:00,5.8
"		108",서울,1977-04-07,10.8,16.9,14:11,5.3,6:31,11.6
"		108",서울,1977-04-08,10.8,13.8,14:53,7.4,7:05,6.4
"		108",서울,1978-04-02,5.6,10.8,11:12,3.4,24:00:00,7.4
"		108",서울,1978-04-03,6,11.9,15:30,0.4,6:50,11.5
"		108",서울,1978-04-04,7.8,14.3,15:03,2.2,6:00,12.1
"		108",서울,1978-04-05,10.2,15.2,15:02,6.4,6:12,8.8
"		108",서울,1978-04-06,7.8,11.5,14:30,3.9,6:12,7.6
"		108",서울,1978-04-07,9.1,14.6,16:05,4.4,6:10,10.2
"		108",서울,1978-04-08,11.6,17.4,14:54,5.2,6:25,12.2
"		108",서울,1979-04-02,6.9,8.6,0:00,4.6,24:00:00,4
"		108",서울,1979-04-03,4.4,8.3,16:17,2.4,7:40,5.9
"		108",서울,1979-04-04,6.2,12.2,15:33,0.4,7:10,11.8
"		108",서울,1979-04-05,9.4,16.4,11:31,2.8,4:40,13.6
"		108",서울,1979-04-06,13,19.8,14:57,6.1,5:52,13.7
"		108",서울,1979-04-07,11.9,14.2,0:00,9.9,13:40,4.3
"		108",서울,1979-04-08,8.9,12.9,2:34,7.2,12:00,5.7
"		108",서울,1980-04-02,6.5,12.9,16:13,1.4,6:10,11.5
"		108",서울,1980-04-03,11.1,18.4,14:36,4.1,5:55,14.3
"		108",서울,1980-04-04,15.5,21,14:57,8.6,5:35,12.4
"		108",서울,1980-04-05,15.4,18.2,0:28,12.5,24:00:00,5.7
"		108",서울,1980-04-06,7.1,12.5,0:00,4.3,11:15,8.2
"		108",서울,1980-04-07,8.5,13.3,17:02,4.7,5:38,8.6
"		108",서울,1980-04-08,10.8,15.2,14:31,8.4,7:20,6.8
"		108",서울,1981-04-02,7.1,12.9,14:48,3.6,5:00,9.3
"		108",서울,1981-04-03,6,10.4,11:58,1.7,6:54,8.7
"		108",서울,1981-04-04,9.1,16.8,16:12,3.9,6:58,12.9
